2026-01-16 11:02:31 | INFO     | setup_file_logger         | 日志文件: C:\Ruibin_Ningh\program\Notion-Files-Management\logs\upload_20260116_110231.log
2026-01-16 11:03:22 | INFO     | set_page                  | 切换到页面: 2e4644ea-d11a-800d-bb89-fb9f02fc2e96
2026-01-16 11:03:25 | INFO     | upload_file               | ============================================================
2026-01-16 11:03:25 | INFO     | upload_file               | 开始上传文件: q.zip
2026-01-16 11:03:25 | INFO     | upload_file               |   文件路径: C:\Users\ruibi\Desktop\迪哥\新建文件夹\q.zip
2026-01-16 11:03:25 | INFO     | upload_file               |   文件大小: 0.06 MB (58861 bytes)
2026-01-16 11:03:25 | INFO     | upload_file               |   MIME类型: text/plain
2026-01-16 11:03:25 | INFO     | upload_file               |   上传名称: q.zip.txt
2026-01-16 11:03:25 | INFO     | upload_file               |   目标页面: 2e4644ea-d11a-800d-bb89-fb9f02fc2e96
2026-01-16 11:03:25 | INFO     | upload_file               |   是否伪装: True
2026-01-16 11:03:25 | INFO     | upload_file               |   上传模式: 小文件直传
2026-01-16 11:03:25 | DEBUG    | _upload_small_file        | [小文件上传] 开始: q.zip
2026-01-16 11:03:25 | DEBUG    | _upload_small_file        | [小文件上传] 创建上传会话...
2026-01-16 11:03:25 | DEBUG    | _api_request              | [POST:file_uploads:0] 开始请求: https://api.notion.com/v1/file_uploads
2026-01-16 11:03:25 | DEBUG    | _api_request              | [POST:file_uploads:0] 请求数据: {'filename': 'q.zip.txt', 'content_type': 'text/plain'}
2026-01-16 11:03:28 | DEBUG    | _api_request              | [POST:file_uploads:0] ✓ 成功 (HTTP 200, 2.69s)
2026-01-16 11:03:28 | DEBUG    | _upload_small_file        | [小文件上传] 会话ID: 2ea644ea-d11a-8148-a189-00b24634d751
2026-01-16 11:03:28 | DEBUG    | _upload_small_file        | [小文件上传] 读取文件内容...
2026-01-16 11:03:28 | DEBUG    | _upload_small_file        | [小文件上传] 文件内容大小: 58861 bytes
2026-01-16 11:03:28 | DEBUG    | _upload_small_file        | [小文件上传] 发送文件数据 (尝试 1)...
2026-01-16 11:03:28 | DEBUG    | _api_request              | [POST:file_uploads/2ea644ea-d11a-8148-a189-00b24634d751/send:0] 开始请求: https://api.notion.com/v1/file_uploads/2ea644ea-d11a-8148-a189-00b24634d751/send
2026-01-16 11:03:28 | DEBUG    | _api_request              | [POST:file_uploads/2ea644ea-d11a-8148-a189-00b24634d751/send:0] 上传文件: {'file': '<tuple, 58861 bytes>'}
2026-01-16 11:03:34 | DEBUG    | _api_request              | [POST:file_uploads/2ea644ea-d11a-8148-a189-00b24634d751/send:0] ✓ 成功 (HTTP 200, 6.17s)
2026-01-16 11:03:34 | DEBUG    | _upload_small_file        | [小文件上传] 文件数据发送成功，耗时: 6.17s
2026-01-16 11:03:34 | DEBUG    | _upload_small_file        | [小文件上传] 附加文件到页面...
2026-01-16 11:03:34 | DEBUG    | _attach_file_to_page      | [附加文件] 文件: q.zip
2026-01-16 11:03:34 | DEBUG    | _attach_file_to_page      | [附加文件] Block类型: file
2026-01-16 11:03:34 | DEBUG    | _attach_file_to_page      | [附加文件] 上传ID: 2ea644ea-d11a-8148-a189-00b24634d751
2026-01-16 11:03:34 | DEBUG    | _attach_file_to_page      | [附加文件] 目标页面: 2e4644ea-d11a-800d-bb89-fb9f02fc2e96
2026-01-16 11:03:34 | DEBUG    | _api_request              | [PATCH:blocks/2e4644ea-d11a-800d-bb89-fb9f02fc2e96/children:0] 开始请求: https://api.notion.com/v1/blocks/2e4644ea-d11a-800d-bb89-fb9f02fc2e96/children
